id,first_name,last_name,position,store_id
1,Alvaro,Pulido,Vendedor,2
2,Abel,Solís,Vendedor,3
3,Pablo,Estrada,Cajero,4
4,José,Prado,Cajero,5
5,Ángela,Menéndez,Cajero,1
6,Sofía,Martínez,Gerente,2
7,Wilfrido,Castellanos,Vendedor,3
8,Helena,Sarabia,Vendedor,4
9,Horacio,Paredes,Vendedor,5
10,Itzel,Padrón,Vendedor,1
11,Gustavo,Urrutia,Vendedor,2
12,Carolina,Espinosa,Gerente,3
13,Lucía,Ojeda,Cajero,4
14,Zoé,Delgado,Gerente,5
15,Sergio,Varela,Gerente,1
16,Hermelinda,Palomino,Gerente,2
17,Pascual,Abrego,Cajero,3
18,Hernán,Llamas,Cajero,4
19,Enrique,Posada,Vendedor,5
20,Ricardo,Zepeda,Gerente,1
21,Vanesa,Medina,Vendedor,2
22,Martha,Quintanilla,Cajero,3
23,Margarita,Gallardo,Cajero,4
24,Nayeli,Rojas,Cajero,5
25,Darío,Bravo,Cajero,1
